Title,Slug,Role,Group,Photo
Alifiya Mutaher,alifiya-mutaher,"Cofounder, Lagori Collective",Studio lead,https://mtwosix.github.io/uploads/people/alifiya-mutaher.jpg
Dhaval Kothari,dhaval-kothari,"Cofounder, Lagori Collective",Studio lead,https://mtwosix.github.io/uploads/people/dhaval-kothari.jpg
Ankita Trivedi,ankita-trivedi,"Senior Assistant Professor, CEPT",Studio lead,https://mtwosix.github.io/uploads/people/ankita-trivedi.jpg
Anna Biswas,anna-biswas,"Managing Director – India, Forum for the Future",Guest lecturer,https://mtwosix.github.io/uploads/people/anna-biswas.jpg
Vishwanath S,vishwanath-s,"Director, Biome Environmental Solutions",Guest lecturer,https://mtwosix.github.io/uploads/people/vishwanath-s.jpg
Reema Deshpande,reema-deshpande,"Cofounder, Lagori Collective",Guest lecturer,https://mtwosix.github.io/uploads/people/reema-deshpande.jpg
Ishita Jain,ishita-jain,"Cofounder, LMNO",Guest lecturer,https://mtwosix.github.io/uploads/people/ishita-jain.jpg
